name,temp,dod,c_dch,soc_max,stage,cap_0,norm_cu_1,norm_cu_2,norm_cu_3,target_retention,final_retention,n_checkups
TP_z22_03,45,0.45,1.4,0.65,1,4.8074,0.9942796522028537,0.982776552814411,0.9770146024878312,0.9608728210675208,0.9039605608020966,10
TP_z22_03_s2,45,0.45,1.4,0.65,2,4.8278,0.9921496333733792,0.9791002112763577,0.9756410787522268,0.9633580512863003,0.9160280044740875,11
TP_z23_01_s2,45,0.05,1.6,0.8,2,4.7491,0.9911351624518329,0.9748794508433177,0.967404350297951,0.9502853172179991,0.8992440672969615,10
TP_z23_02,45,0.05,1.6,0.8,1,4.7714,0.9908622207318607,0.9746196085006497,0.9669279456763215,0.9502452110491679,0.9005323385169972,10
TP_z23_03_s2,45,0.05,1.6,0.8,2,4.7891,0.9895596249817292,0.9733770437034097,0.9658390929402183,0.9486333549101083,0.8986030778225552,10
TP_z24_01,45,0.05,1.8,0.45,1,4.8232,0.9932410018245149,0.9791839442693648,0.9735652678719523,0.9585544866478687,0.9081729971802953,10
TP_z24_01_s2,45,0.05,1.8,0.45,2,4.8338,0.9913111837477762,0.9795812818072738,0.9755885638627994,0.9619760850676486,0.9143530969423642,11
TP_z24_02,45,0.05,1.8,0.45,1,4.7669,0.993979315697833,0.980721223436615,0.9744068472172691,0.9596383393819883,0.9158782437223353,10
TP_z24_02_s2,45,0.05,1.8,0.45,2,4.8097,0.9922240472378735,0.980809613905233,0.9770463854294446,0.9640102293282324,0.9176040085660229,11
TP_z24_03,45,0.05,1.8,0.45,1,4.8504,0.993052119412832,0.9783110671284843,0.9720435428005939,0.9561685634174503,0.9107702457529278,10
TP_z24_03_s2,45,0.05,1.8,0.45,2,4.8248,0.9919374896368761,0.9798748134637705,0.9753979439562263,0.9629829215718787,0.9167426629083071,11
TP_z25_01,45,0.15,1.9,0.6,1,4.8363,0.968384922358001,0.9476666046357753,0.93488824101069,0.9070156938155202,0.7800177821888635,10
TP_z25_02,45,0.15,1.9,0.6,1,4.8153,0.99111166490146,0.9729196519427658,0.9650696737482608,0.9454862625381597,0.8812119701783897,10
TP_z25_03,45,0.15,1.9,0.6,1,4.8273,0.9912373376421603,0.9733391336772108,0.9657158245810288,0.9465125432436351,0.8780684854887825,10
